Title,Author,Publication,Date,Year,URL,Bibcode,DOI,Instruments
Elemental Abundances in M31: The Kinematics and Chemical Evolution of Dwarf Spheroidal Satellite Galaxies,Kirby E. | Gilbert K. | Escala I. | et. al.,AJ 159 46,2020 02,2020,arXiv:1912.02186,2020AJ....159...46K,10.3847/1538-3881/ab5f0f,{'deimos': 14}
ROBO-AO Kepler Asteroseismic Survey. II. Do Stellar Companions Inhibit Stellar Oscillations?,Schonhut-Stasik J. | Huber D. | Baranec C. | et. al.,ApJ 888 34,2020 01,2020,,2020ApJ...888...34S,10.3847/1538-4357/ab50c3,{'nirc': 13}
The Full Kepler Phase Curve of the Eclipsing Hot White Dwarf Binary System KOI-964,Wong I. | Shporer A. | Becker J. | et. al.,AJ 159 29,2020 01,2020,arXiv:1910.08524,2020AJ....159...29W,10.3847/1538-3881/ab59d6,{}
The Orbit of WASP-12b Is Decaying,Yee S. | Winn J. | Knutson H. | et. al.,ApJL 888 L5,2020 01,2020,arXiv:1911.09131,2020ApJ...888L...5Y,10.3847/2041-8213/ab5c16,{}
Atmospheric Characterization and Further Orbital Modeling of κ Andromeda b,Uyama T. | Currie T. | Hori Y. | et. al.,AJ 159 40,2020 02,2020,arXiv:1911.09758,2020AJ....159...40U,10.3847/1538-3881/ab5afa,"{'nirc': 11, 'osiris': 2}"
A kilonova associated with GRB 070809,Jin Z. | Covino S. | Liao N. | et. al.,NatAs 4 77,2020 01,2020,arXiv:1901.06269,2020NatAs...4...77J,10.1038/s41550-019-0892-y,{}
"Search for Nearby Earth Analogs. II. Detection of Five New Planets, Eight Planet Candidates, and Confirmation of Three Planets around Nine Nearby M Dwarfs",Feng F. | Butler R. | Shectman S. | et. al.,ApJS 246 11,2020 01,2020,arXiv:2001.02577,2020ApJS..246...11F,10.3847/1538-4365/ab5e7c,{}
K2-19b and c are in a 3:2 Commensurability but out of Resonance: A Challenge to Planet Assembly by Convergent Migration,Petigura E. | Livingston J. | Batygin K. | et. al.,AJ 159 2,2020 01,2020,arXiv:1910.12899,2020AJ....159....2P,10.3847/1538-3881/ab5220,{}
Magnetic Inflation and Stellar Mass. V. Intensification and Saturation of M-dwarf Absorption Lines with Rossby Number,Muirhead P. | Veyette M. | Newton E. | et. al.,AJ 159 52,2020 02,2020,arXiv:1912.01004,2020AJ....159...52M,10.3847/1538-3881/ab5d3d,{'nirspec': 109}
Evolution of Structure in the Intergalactic Medium and the Nature of the Lyα Forest,Bi H. | Davidsen A.,ApJ 479 523,1997 04,1997,arXiv:astro-ph/9611062,1997ApJ...479..523B,10.1086/303908,{}
Galaxy Clusters at z &gt;= 1: Gas Constraints from the Sunyaev-Zel'dovich Array,Culverhouse T. | Bonamente M. | Bulbul E. | et. al.,ApJL 723 L78,2010 11,2010,arXiv:1007.2853,2010ApJ...723L..78C,10.1088/2041-8205/723/1/L78,{}
The fraction of ionizing radiation from massive stars that escapes to the intergalactic medium,Tanvir N. | Fynbo J. | de Ugarte Postigo A. | et. al.,MNRAS 483 5380,2019 03,2019,arXiv:1805.07318,2019MNRAS.483.5380T,10.1093/mnras/sty3460,"{'lris': 7, 'osiris': 21}"
A Galaxy at z = 6.545 and Constraints on the Epoch of Reionization,Stern D. | Yost S. | Eckart M. | et. al.,ApJ 619 12,2005 01,2005,arXiv:astro-ph/0407409,2005ApJ...619...12S,10.1086/426423,"{'deimos': 5, 'esi': 3}"
HAT-P-27b: A Hot Jupiter Transiting a G Star on a 3 Day Orbit,Béky B. | Bakos G. | Hartman J. | et. al.,ApJ 734 109,2011 06,2011,arXiv:1101.3511,2011ApJ...734..109B,10.1088/0004-637X/734/2/109,{}
The CGM-GRB Study. I. Uncovering the Circumgalactic Medium around GRB Hosts at Redshifts 2-6,Gatkine P. | Veilleux S. | Cucchiara A.,ApJ 884 66,2019 10,2019,arXiv:1907.05903,2019ApJ...884...66G,10.3847/1538-4357/ab31ae,{'esi': 1}
RINGFINDER: Automated Detection of Galaxy-scale Gravitational Lenses in Ground-based Multi-filter Imaging Data,Gavazzi R. | Marshall P. | Treu T.,ApJ 785 144,2014 04,2014,arXiv:1403.1041,2014ApJ...785..144G,10.1088/0004-637X/785/2/144,"{'nirc': 1, 'deimos': 1, 'lris': 1}"
The upcoming mutual event season for the Patroclus-Menoetius Trojan binary,Grundy W. | Noll K. | Buie M.,Icar 305 198,2018 05,2018,arXiv:1903.03729,2018Icar..305..198G,10.1016/j.icarus.2018.01.009,{'nirc': 1}
Predictions and Strategies for Integral-Field Spectroscopy of High-Redshift Galaxies,Law D. | Steidel C. | Erb D.,AJ 131 70,2006 01,2006,arXiv:astro-ph/0509779,2006AJ....131...70L,10.1086/498683,"{'nirspec': 6, 'osiris': 45}"
Active Galactic Nuclei Emission Line Diagnostics and the Mass-Metallicity Relation up to Redshift z ~ 2: The Impact of Selection Effects and Evolution,Juneau S. | Bournaud F. | Charlot S. | et. al.,ApJ 788 88,2014 06,2014,arXiv:1403.6832,2014ApJ...788...88J,10.1088/0004-637X/788/1/88,"{'nirspec': 1, 'deimos': 1, 'mosfire': 2}"
"Abundance Patterns in the Draco, Sextans, and Ursa Minor Dwarf Spheroidal Galaxies",Shetrone M. | Côté P. | Sargent W.,ApJ 548 592,2001 02,2001,arXiv:astro-ph/0009505,2001ApJ...548..592S,10.1086/319022,{}
The innermost dusty structure in active galactic nuclei as probed by the Keck interferometer,Kishimoto M. | Hönig S. | Antonucci R. | et. al.,A&A 527 A121,2011 03,2011,arXiv:1012.5359,2011A&A...527A.121K,10.1051/0004-6361/201016054,{}
Io's Loki Patera: Modeling of three brightening events in 2013-2016,de Kleer K. | de Pater I.,Icar 289 181,2017 06,2017,,2017Icar..289..181D,10.1016/j.icarus.2017.01.038,{'nirc': 1}
The SLUGGS survey: multipopulation dynamical modelling of the elliptical galaxy NGC 1407 from stars and globular clusters,Pota V. | Romanowsky A. | Brodie J. | et. al.,MNRAS 450 3345,2015 07,2015,arXiv:1504.03325,2015MNRAS.450.3345P,10.1093/mnras/stv831,{'deimos': 5}
A median redshift of 2.4 for galaxies bright at submillimetre wavelengths,Chapman S. | Blain A. | Ivison R.,Natur 422 695,2003 04,2003,arXiv:astro-ph/0304235,2003Natur.422..695C,10.1038/nature01540,"{'lris': 2, 'esi': 3}"
Optical Spectroscopy of K-Selected Extremely Red Galaxies,Yan L. | Thompson D. | Soifer B.,AJ 127 1274,2004 03,2004,arXiv:astro-ph/0312142,2004AJ....127.1274Y,10.1086/382098,{'lris': 7}
Distributed Low-mass Star Formation in the IRDC G34.43+00.24,Foster J. | Arce H. | Kassis M. | et. al.,ApJ 791 108,2014 08,2014,arXiv:1407.6003,2014ApJ...791..108F,10.1088/0004-637X/791/2/108,{'nirc': 1}
"A New Einstein Cross: A Highly Magnified, Intrinsically Faint Lyα Emitter at z=2.7",Bolton A. | Moustakas L. | Stern D. | et. al.,ApJL 646 L45,2006 07,2006,arXiv:astro-ph/0606210,2006ApJ...646L..45B,10.1086/506446,{'lris': 3}
Stellar Populations of Luminous Evolved Galaxies at z ~ 1.5,McGrath E. | Stockton A. | Canalizo G.,ApJ 669 241,2007 11,2007,arXiv:0707.1046,2007ApJ...669..241M,10.1086/521433,"{'deimos': 4, 'lris': 7, 'esi': 4}"
"A vast, thin plane of corotating dwarf galaxies orbiting the Andromeda galaxy",Ibata R. | Lewis G. | Conn A. | et. al.,Natur 493 62,2013 01,2013,arXiv:1301.0446,2013Natur.493...62I,10.1038/nature11717,{}
High-precision analysis of binary stars with planets. I. Searching for condensation temperature trends in the HD 106515 system,Saffe C. | Jofré E. | Miquelarena P. | et. al.,A&A 625 A39,2019 05,2019,arXiv:1904.01955,2019A&A...625A..39S,10.1051/0004-6361/201935352,{}
Hot subdwarf stars in close-up view. II. Rotational properties of single and wide binary subdwarf B stars,Geier S. | Heber U.,A&A 543 A149,2012 07,2012,arXiv:1206.6977,2012A&A...543A.149G,10.1051/0004-6361/201219463,{}
On the Spin-Orbit Misalignment of the XO-3 Exoplanetary System,Winn J. | Johnson J. | Fabrycky D. | et. al.,ApJ 700 302,2009 07,2009,arXiv:0902.3461,2009ApJ...700..302W,10.1088/0004-637X/700/1/302,{}
Multiwavelength Light Curves of Two Remarkable Sagittarius A* Flares,Fazio G. | Hora J. | Witzel G. | et. al.,ApJ 864 58,2018 09,2018,arXiv:1807.07599,2018ApJ...864...58F,10.3847/1538-4357/aad4a2,{'nirc': 2}
A Keck Adaptive Optics Survey of a Representative Sample of Gravitationally Lensed Star-forming Galaxies: High Spatial Resolution Studies of Kinematics and Metallicity Gradients,Leethochawalit N. | Jones T. | Ellis R. | et. al.,ApJ 820 84,2016 04,2016,arXiv:1509.01279,2016ApJ...820...84L,10.3847/0004-637X/820/2/84,"{'nirspec': 2, 'esi': 1, 'osiris': 14}"
Ultracool Field Brown Dwarf Candidates Selected at 4.5 μm,Eisenhardt P. | Griffith R. | Stern D. | et. al.,AJ 139 2455,2010 06,2010,arXiv:1004.1436,2010AJ....139.2455E,10.1088/0004-6256/139/6/2455,{'nirc': 2}
The return of activity in main-belt comet 133P/Elst-Pizarro,Hsieh H. | Jewitt D. | Lacerda P. | et. al.,MNRAS 403 363,2010 03,2010,arXiv:0911.5522,2010MNRAS.403..363H,10.1111/j.1365-2966.2009.16120.x,{}
Resolved spectroscopy of gravitationally lensed galaxies: recovering coherent velocity fields in subluminous z ~ 2-3 galaxies,Jones T. | Swinbank A. | Ellis R. | et. al.,MNRAS 404 1247,2010 05,2010,arXiv:0910.4488,2010MNRAS.404.1247J,10.1111/j.1365-2966.2010.16378.x,"{'nirspec': 6, 'osiris': 12}"
Seasonal Variability in the Ionosphere of Uranus,Melin H. | Stallard T. | Miller S. | et. al.,ApJ 729 134,2011 03,2011,,2011ApJ...729..134M,10.1088/0004-637X/729/2/134,{'nirspec': 5}
"Evidence for two modes of water release in Comet 103P/Hartley 2: Distributions of column density, rotational temperature, and ortho-para ratio",Bonev B. | Villanueva G. | Paganini L. | et. al.,Icar 222 740,2013 02,2013,,2013Icar..222..740B,10.1016/j.icarus.2012.07.034,{'nirspec': 7}
The Jet-driven Outflow in the Radio Galaxy SDSS J1517+3353: Implications for Double-peaked Narrow-line Active Galactic Nucleus,Rosario D. | Shields G. | Taylor G. | et. al.,ApJ 716 131,2010 06,2010,arXiv:1005.0021,2010ApJ...716..131R,10.1088/0004-637X/716/1/131,{}
The Lick-Carnegie Survey: A New Two-planet System around the Star HD 207832,Haghighipour N. | Butler R. | Rivera E. | et. al.,ApJ 756 91,2012 09,2012,arXiv:1207.2806,2012ApJ...756...91H,10.1088/0004-637X/756/1/91,{}
Meeting the Cool Neighbors. XII. An Optically Anchored Analysis of the Near-infrared Spectra of L Dwarfs,Cruz K. | Núñez A. | Burgasser A. | et. al.,AJ 155 34,2018 01,2018,,2018AJ....155...34C,10.3847/1538-3881/aa9d8a,"{'nirspec': 1, 'nires': 1, 'lris': 1}"
"Two Warm, Low-density Sub-Jovian Planets Orbiting Bright Stars in K2 Campaigns 13 and 14",Yu L. | Rodriguez J. | Eastman J. | et. al.,AJ 156 127,2018 09,2018,arXiv:1803.02858,2018AJ....156..127Y,10.3847/1538-3881/aad6e7,{'nirc': 5}
"Discovery of a possibly old galaxy at z= 6.027, multiply imaged by the massive cluster Abell 383",Richard J. | Kneib J. | Ebeling H. | et. al.,MNRAS 414 L31,2011 06,2011,arXiv:1102.5092,2011MNRAS.414L..31R,10.1111/j.1745-3933.2011.01050.x,{'deimos': 4}
Energetic eruptions leading to a peculiar hydrogen-rich explosion of a massive star,Arcavi I. | Howell D. | Kasen D. | et. al.,Natur 551 210,2017 11,2017,arXiv:1711.02671,2017Natur.551..210A,10.1038/nature24030,"{'deimos': 2, 'lris': 4}"
Redetermination of the space weathering rate using spectra of Iannini asteroid family members,Willman M. | Jedicke R. | Nesvorný D. | et. al.,Icar 195 663,2008 06,2008,arXiv:0802.2977,2008Icar..195..663W,10.1016/j.icarus.2008.02.007,{'esi': 8}
Homogeneous internal structure of CM-like asteroid (41) Daphne,Carry B. | Vachier F. | Berthier J. | et. al.,A&A 623 A132,2019 03,2019,arXiv:1901.01890,2019A&A...623A.132C,10.1051/0004-6361/201833898,{'nirc': 2}
K2-288Bb: A Small Temperate Planet in a Low-mass Binary System Discovered by Citizen Scientists,Feinstein A. | Schlieder J. | Livingston J. | et. al.,AJ 157 40,2019 02,2019,arXiv:1902.02789,2019AJ....157...40F,10.3847/1538-3881/aafa70,{'nirc': 5}
The Unusually Long Duration Gamma-Ray Burst GRB 000911: Discovery of the Afterglow and Host Galaxy,Price P. | Berger E. | Kulkarni S. | et. al.,ApJ 573 85,2002 07,2002,arXiv:astro-ph/0110315,2002ApJ...573...85P,10.1086/340585,"{'lris': 1, 'esi': 1}"
The Optical Colors of Giant Elliptical Galaxies and their Metal-Rich Globular Clusters Indicate a Bottom-Heavy Initial Mass Function,Goudfrooij P. | Kruijssen J.,ApJ 762 107,2013 01,2013,arXiv:1211.5131,2013ApJ...762..107G,10.1088/0004-637X/762/2/107,{'lris': 2}
The Pan-Pacific Planet Search. IV. Two Super-Jupiters in a 3:5 Resonance Orbiting the Giant Star HD 33844,Wittenmyer R. | Johnson J. | Butler R. | et. al.,ApJ 818 35,2016 02,2016,arXiv:1512.07316,2016ApJ...818...35W,10.3847/0004-637X/818/1/35,{}
Carbon Abundances of Faint Stars in M13: Evidence of Two Abundance-altering Mechanisms,Briley M. | Cohen J. | Stetson P.,ApJL 579 L17,2002 11,2002,arXiv:astro-ph/0210121,2002ApJ...579L..17B,10.1086/345095,{'lris': 2}
Constraining Primordial Magnetic Fields through Large-scale Structure,Kahniashvili T. | Maravin Y. | Natarajan A. | et. al.,ApJ 770 47,2013 06,2013,arXiv:1211.2769,2013ApJ...770...47K,10.1088/0004-637X/770/1/47,{}
A Transiting ``51 Peg-like'' Planet,Henry G. | Marcy G. | Butler R.,ApJL 529 L41,2000 01,2000,,2000ApJ...529L..41H,10.1086/312458,{}
Molecular Hydrogen Absorption from the Halo of a z ̃ 0.4 Galaxy,Muzahid S. | Kacprzak G. | Charlton J.,ApJ 823 66,2016 05,2016,arXiv:1601.06782,2016ApJ...823...66M,10.3847/0004-637X/823/1/66,{'esi': 2}
Evidence against a redshift z &gt; 6 for the galaxy STIS123627+621755,Stern D. | Eisenhardt P. | Spinrad H. | et. al.,Natur 408 560,2000 11,2000,arXiv:astro-ph/0012037,2000Natur.408..560S,10.1038/35046027,{}
Deep Thermal Infrared Imaging of HR 8799 bcde: New Atmospheric Constraints and Limits on a Fifth Planet,Currie T. | Burrows A. | Girard J. | et. al.,ApJ 795 133,2014 11,2014,arXiv:1409.5134,2014ApJ...795..133C,10.1088/0004-637X/795/2/133,{'nirc': 30}
"Adaptive Optics Observations of B0128+437: A Low-mass, High-redshift Gravitational Lens",Lagattuta D. | Auger M. | Fassnacht C.,ApJL 716 L185,2010 06,2010,arXiv:0912.2344,2010ApJ...716L.185L,10.1088/2041-8205/716/2/L185,{'nirc': 3}
The ionization parameter of star-forming galaxies evolves with the specific star formation rate,Kaasinen M. | Kewley L. | Bian F. | et. al.,MNRAS 477 5568,2018 07,2018,arXiv:1804.10621,2018MNRAS.477.5568K,10.1093/mnras/sty1012,{'deimos': 25}
Mid-Infrared Imaging of NGC 6334 I,De Buizer J. | Radomski J. | Piña R.,ApJ 580 305,2002 11,2002,arXiv:astro-ph/0207565,2002ApJ...580..305D,10.1086/343096,{}
"Planetary Companions to HD 136118, HD 50554, and HD 106252",Fischer D. | Marcy G. | Butler R. | et. al.,PASP 114 529,2002 05,2002,,2002PASP..114..529F,10.1086/341677,{}
Cosmic Evolution of Black Holes and Spheroids. V. The Relation between Black Hole Mass and Host Galaxy Luminosity for a Sample of 79 Active Galaxies,Park D. | Woo J. | Bennert V. | et. al.,ApJ 799 164,2015 02,2015,arXiv:1411.6334,2015ApJ...799..164P,10.1088/0004-637X/799/2/164,{}
<ASTROBJ>US 708</ASTROBJ> - an unbound hyper-velocity subluminous O star,Hirsch H. | Heber U. | O'Toole S.,A&A 444 L61,2005 12,2005,arXiv:astro-ph/0511323,2005A&A...444L..61H,10.1051/0004-6361:200500212,{'lris': 3}
Metallicity of the Intergalactic Medium Using Pixel Statistics. II. The Distribution of Metals as Traced by C IV,Schaye J. | Aguirre A. | Kim T. | et. al.,ApJ 596 768,2003 10,2003,arXiv:astro-ph/0306469,2003ApJ...596..768S,10.1086/378044,{}
Delayed Circumstellar Interaction for Type Ia SN 2015cp Revealed by an HST Ultraviolet Imaging Survey,Graham M. | Harris C. | Nugent P. | et. al.,ApJ 871 62,2019 01,2019,arXiv:1812.02757,2019ApJ...871...62G,10.3847/1538-4357/aaf41e,{'lris': 6}
The Tolman Surface Brightness Test for the Reality of the Expansion. III. Hubble Space Telescope Profile and Surface Brightness Data for Early-Type Galaxies in Three High-Redshift Clusters,Lubin L. | Sandage A.,AJ 122 1071,2001 09,2001,arXiv:astro-ph/0106563,2001AJ....122.1071L,10.1086/322133,{}
"Quantitative Spectroscopy of Blue Supergiant Stars in the Disk of M81: Metallicity, Metallicity Gradient, and Distance",Kudritzki R. | Urbaneja M. | Gazak Z. | et. al.,ApJ 747 15,2012 03,2012,arXiv:1112.3643,2012ApJ...747...15K,10.1088/0004-637X/747/1/15,{'lris': 5}
"Ground-based observation of high-altitude, high-temperature emission in the O<SUB>2</SUB> atmospheric band nightglow",Slanger T. | Cosby P. | Huestis D.,JGRA 108 1293,2003 07,2003,,2003JGRA..108.1293S,10.1029/2003JA009885,{'esi': 4}
Structure and Dynamics of the Accretion Process and Wind in TW Hya,Dupree A. | Brickhouse N. | Cranmer S. | et. al.,ApJ 789 27,2014 07,2014,arXiv:1405.2935,2014ApJ...789...27D,10.1088/0004-637X/789/1/27,{'nirspec': 5}
Magnesium Isotope Ratios in Hyades Stars,Yong D. | Lambert D. | Allende Prieto C.,ApJ 603 697,2004 03,2004,arXiv:astro-ph/0312054,2004ApJ...603..697Y,10.1086/381701,{}
Evidence that Gamma-Ray Burst 130702A Exploded in a Dwarf Satellite of a Massive Galaxy,Kelly P. | Filippenko A. | Fox O. | et. al.,ApJL 775 L5,2013 09,2013,arXiv:1307.5103,2013ApJ...775L...5K,10.1088/2041-8205/775/1/L5,{'deimos': 3}
Keck Spectroscopy of Faint 3 &lt; z &lt; 8 Lyman Break Galaxies: Evidence for a Declining Fraction of Emission Line Sources in the Redshift Range 6 &lt; z &lt; 8,Schenker M. | Stark D. | Ellis R. | et. al.,ApJ 744 179,2012 01,2012,arXiv:1107.1261,2012ApJ...744..179S,10.1088/0004-637X/744/2/179,"{'nirspec': 11, 'deimos': 5, 'lris': 10, 'mosfire': 1}"
Star-To-Star Abundance Variations Among Bright Giants in the Metal-Poor Globular Cluster M15,Sneden C. | Kraft R. | Shetrone M. | et. al.,AJ 114 1964,1997 11,1997,,1997AJ....114.1964S,10.1086/118618,{}
The First FIRST Gravitationally Lensed Quasar: FBQ 0951+2635,Schechter P. | Gregg M. | Becker R. | et. al.,AJ 115 1371,1998 04,1998,arXiv:astro-ph/9710120,1998AJ....115.1371S,10.1086/300294,{'lris': 1}
"Dust Attenuation of the Nebular Regions of z ~ 2 Star-forming Galaxies: Insight from UV, IR, and Emission Lines",De Barros S. | Reddy N. | Shivaei I.,ApJ 820 96,2016 04,2016,arXiv:1509.05055,2016ApJ...820...96D,10.3847/0004-637X/820/2/96,"{'nirspec': 4, 'lris': 1, 'mosfire': 4}"
AEGIS: New Evidence Linking Active Galactic Nuclei to the Quenching of Star Formation,Bundy K. | Georgakakis A. | Nandra K. | et. al.,ApJ 681 931,2008 07,2008,arXiv:0710.2105,2008ApJ...681..931B,10.1086/588719,{'deimos': 2}
CLASS B0827+525: `Dark lens' or binary radio-loud quasar?,Koopmans L. | de Bruyn A. | Fassnacht C. | et. al.,A&A 361 815,2000 09,2000,arXiv:astro-ph/0007286,2000A&A...361..815K,,"{'nirc': 4, 'lris': 3}"
Mass-Loss Rates and Stellar Wind Momenta of A-Supergiants in M31: First Results from the Keck HIRES Spectrograph,McCarthy J. | Kudritzki R. | Lennon D. | et. al.,ApJ 482 757,1997 06,1997,,1997ApJ...482..757M,10.1086/304189,{}
The Chandra Multiwavelength Project: Optical Follow-up of Serendipitous Chandra Sources,Green P. | Silverman J. | Cameron R. | et. al.,ApJS 150 43,2004 01,2004,arXiv:astro-ph/0308506,2004ApJS..150...43G,10.1086/379818,{'lris': 2}
Low Albedos Among Extinct Comet Candidates,Fernández Y. | Jewitt D. | Sheppard S.,ApJL 553 L197,2001 06,2001,arXiv:astro-ph/0104478,2001ApJ...553L.197F,10.1086/320689,{}
An L-Type Substellar Object in Orion: Reaching the Mass Boundary between Brown Dwarfs and Giant Planets,Zapatero Osorio M. | Béjar V. | Rebolo R. | et. al.,ApJL 524 L115,1999 10,1999,arXiv:astro-ph/9908223,1999ApJ...524L.115Z,10.1086/312317,{}
Dynamics of Large Fragments in the Tail of Active Asteroid P/2010 A2,Agarwal J. | Jewitt D. | Weaver H.,ApJ 769 46,2013 05,2013,arXiv:1304.1814,2013ApJ...769...46A,10.1088/0004-637X/769/1/46,{'osiris': 1}
The Assembly History of Disk Galaxies. I. The Tully-Fisher Relation to z ~= 1.3 from Deep Exposures with DEIMOS,Miller S. | Bundy K. | Sullivan M. | et. al.,ApJ 741 115,2011 11,2011,arXiv:1102.3911,2011ApJ...741..115M,10.1088/0004-637X/741/2/115,{'deimos': 7}
Optical Spectroscopy of Supernova 1993J During Its First 2500 Days,Matheson T. | Filippenko A. | Barth A. | et. al.,AJ 120 1487,2000 09,2000,arXiv:astro-ph/0006263,2000AJ....120.1487M,10.1086/301518,{'lris': 6}
"Dynamical Evidence for Massive, Young Globular Clusters in NGC 1569",Ho L. | Filippenko A.,ApJL 466 L83,1996 08,1996,arXiv:astro-ph/9605189,1996ApJ...466L..83H,10.1086/310181,{}
The Nature of the Deep Lens Survey Fast Transients,Kulkarni S. | Rau A.,ApJL 644 L63,2006 06,2006,arXiv:astro-ph/0604343,2006ApJ...644L..63K,10.1086/505423,{'lris': 6}
Spectroscopy of GRB 051111 at z = 1.54948: Kinematics and Elemental Abundances of the GRB Environment and Host Galaxy,Penprase B. | Berger E. | Fox D. | et. al.,ApJ 646 358,2006 07,2006,arXiv:astro-ph/0512340,2006ApJ...646..358P,10.1086/504678,{'esi': 2}
The Type Ia Supernova Rate in Redshift 0.5-0.9 Galaxy Clusters,Sharon K. | Gal-Yam A. | Maoz D. | et. al.,ApJ 718 876,2010 08,2010,arXiv:1006.3757,2010ApJ...718..876S,10.1088/0004-637X/718/2/876,"{'deimos': 6, 'lris': 12}"
The Discovery of the Optical and Near-IR Afterglows of the First Swift Gamma-Ray Bursts,Berger E. | Fox D. | Kulkarni S. | et. al.,ApJ 629 328,2005 08,2005,arXiv:astro-ph/0502468,2005ApJ...629..328B,10.1086/431579,"{'nirc': 8, 'lris': 3, 'esi': 2}"
Fe II/Mg II Emission-Line Ratio in High-Redshift Quasars,Dietrich M. | Hamann F. | Appenzeller I.,ApJ 596 817,2003 10,2003,arXiv:astro-ph/0306584,2003ApJ...596..817D,10.1086/378045,"{'nirspec': 2, 'osiris': 3}"
z ̃ 2: An Epoch of Disk Assembly,Simons R. | Kassin S. | Weiner B. | et. al.,ApJ 843 46,2017 07,2017,arXiv:1705.03474,2017ApJ...843...46S,10.3847/1538-4357/aa740c,"{'deimos': 1, 'mosfire': 1}"
Independent Confirmation and Refined Parameters of the Hot Jupiter XO-5b,Pál A. | Bakos G. | Fernandez J. | et. al.,ApJ 700 783,2009 07,2009,arXiv:0810.0260,2009ApJ...700..783P,10.1088/0004-637X/700/1/783,{}
Cosmic Chronometers: Constraining the Equation of State of Dark Energy. II. A Spectroscopic Catalog of Red Galaxies in Galaxy Clusters,Stern D. | Jimenez R. | Verde L. | et. al.,ApJS 188 280,2010 05,2010,arXiv:0907.3152,2010ApJS..188..280S,10.1088/0067-0049/188/1/280,{'lris': 13}
"Spectral Properties of Cool Stars: Extended Abundance Analysis of 1,617 Planet-search Stars",Brewer J. | Fischer D. | Valenti J.,ApJS 225 32,2016 08,2016,arXiv:1606.07929,2016ApJS..225...32B,10.3847/0067-0049/225/2/32,{}
A Highly Complete Spectroscopic Survey of the GOODS-N Field,Barger A. | Cowie L. | Wang W.,ApJ 689 687,2008 12,2008,arXiv:0812.2481,2008ApJ...689..687B,10.1086/592735,"{'deimos': 7, 'lris': 5, 'esi': 3}"
A New Diagnostic of Active Galactic Nuclei: Revealing Highly Absorbed Systems at Redshift &gt;0.3,Juneau S. | Dickinson M. | Alexander D.,ApJ 736 104,2011 08,2011,arXiv:1105.3194,2011ApJ...736..104J,10.1088/0004-637X/736/2/104,{'deimos': 1}
How elevated is the dynamical-to-stellar mass ratio of the ultracompact dwarf S999?,Janz J. | Forbes D. | Norris M. | et. al.,MNRAS 449 1716,2015 05,2015,arXiv:1502.06598,2015MNRAS.449.1716J,10.1093/mnras/stv389,{'esi': 5}
The Orbit of the Star S2 Around SGR A* from Very Large Telescope and Keck Data,Gillessen S. | Eisenhauer F. | Fritz T. | et. al.,ApJL 707 L114,2009 12,2009,arXiv:0910.3069,2009ApJ...707L.114G,10.1088/0004-637X/707/2/L114,{}
Constraining the Type Ia Supernova Progenitor: The Search for Hydrogen in Nebular Spectra,Leonard D.,ApJ 670 1275,2007 12,2007,arXiv:0710.3166,2007ApJ...670.1275L,10.1086/522367,{}
Silver and palladium help unveil the nature of a second r-process,Hansen C. | Primas F. | Hartman H. | et. al.,A&A 545 A31,2012 09,2012,arXiv:1205.4744,2012A&A...545A..31H,10.1051/0004-6361/201118643,{}
Planetary Candidates Observed by Kepler. III. Analysis of the First 16 Months of Data,Batalha N. | Rowe J. | Bryson S. | et. al.,ApJS 204 24,2013 02,2013,arXiv:1202.5852,2013ApJS..204...24B,10.1088/0067-0049/204/2/24,{}
TriAnd and its siblings: satellites of satellites in the Milky Way halo,Deason A. | Belokurov V. | Hamren K. | et. al.,MNRAS 444 3975,2014 11,2014,arXiv:1407.4458,2014MNRAS.444.3975D,10.1093/mnras/stu1764,{'deimos': 3}
Zodiacal exoplanets in time (ZEIT) - II. A `super-Earth' orbiting a young K dwarf in the Pleiades Neighbourhood,Gaidos E. | Mann A. | Rizzuto A. | et. al.,MNRAS 464 850,2017 01,2017,arXiv:1606.05812,2017MNRAS.464..850G,10.1093/mnras/stw2345,{'nirc': 4}
KH 15D: A Spectroscopic Binary,Johnson J. | Marcy G. | Hamilton C. | et. al.,AJ 128 1265,2004 09,2004,arXiv:astro-ph/0403099,2004AJ....128.1265J,10.1086/422735,{}
Complex Lyα Profiles in Redshift 6.6 Ultraluminous Lyα Emitters,Songaila A. | Hu E. | Barger A. | et. al.,ApJ 859 91,2018 06,2018,arXiv:1805.00490,2018ApJ...859...91S,10.3847/1538-4357/aac021,"{'deimos': 6, 'mosfire': 1}"
"The triaxial ellipsoid size, density, and rotational pole of asteroid (16) Psyche from Keck and Gemini AO observations 2004-2015",Drummond J. | Merline W. | Carry B. | et. al.,Icar 305 174,2018 05,2018,,2018Icar..305..174D,10.1016/j.icarus.2018.01.010,{'nirc': 1}
"The Very Slow Wind from the Pulsating Semiregular Red Giant, L<SUB>2</SUB> Puppis",Jura M. | Chen C. | Plavchan P.,ApJ 569 964,2002 04,2002,arXiv:astro-ph/0112230,2002ApJ...569..964J,10.1086/339207,{}
The Assembly of the Red Sequence at z ~ 1: The Color and Spectral Properties of Galaxies in the Cl1604 Supercluster,Lemaux B. | Gal R. | Lubin L. | et. al.,ApJ 745 106,2012 02,2012,arXiv:1108.5799,2012ApJ...745..106L,10.1088/0004-637X/745/2/106,"{'deimos': 22, 'lris': 17}"
