Title,Author,Publication,Date,Year,URL,Bibcode,DOI,Instruments
"Far-UV Spectroscopy of the Planet-hosting Star WASP-13: High-energy Irradiance, Distance, Age, Planetary Mass-loss Rate, and Circumstellar Environment",Fossati L. | France K. | Koskinen T. | et. al.,ApJ 815 118,2015 12,2015,arXiv:1512.00552,2015ApJ...815..118F,10.1088/0004-637X/815/2/118,{}
"The Connection Between Reddening, Gas Covering Fraction, and the Escape of Ionizing Radiation at High Redshift",Reddy N. | Steidel C. | Pettini M. | et. al.,ApJ 828 108,2016 09,2016,arXiv:1606.03452,2016ApJ...828..108R,10.3847/0004-637X/828/2/108,{'lris': 3}
First determination of the dynamical mass of a binary L dwarf,Bouy H. | Duchêne G. | Köhler R. | et. al.,A&A 423 341,2004 08,2004,arXiv:astro-ph/0405111,2004A&A...423..341B,10.1051/0004-6361:20040551,{'nirc': 5}
TrES-1: The Transiting Planet of a Bright K0 V Star,Alonso R. | Brown T. | Torres G. | et. al.,ApJL 613 L153,2004 10,2004,arXiv:astro-ph/0408421,2004ApJ...613L.153A,10.1086/425256,{}
The Depletion of Water During Dispersal of Planet-forming Disk Regions,Banzatti A. | Pontoppidan K. | Salyk C. | et. al.,ApJ 834 152,2017 01,2017,arXiv:1611.06230,2017ApJ...834..152B,10.3847/1538-4357/834/2/152,{'nirspec': 3}
Discovery of Bright Galactic R Coronae Borealis and DY Persei Variables: Rare Gems Mined from ACVS,Miller A. | Richards J. | Bloom J. | et. al.,ApJ 755 98,2012 08,2012,arXiv:1204.4181,2012ApJ...755...98M,10.1088/0004-637X/755/2/98,{'lris': 3}
The Size Distribution of Trans-Neptunian Bodies,Bernstein G. | Trilling D. | Allen R. | et. al.,AJ 128 1364,2004 09,2004,arXiv:astro-ph/0308467,2004AJ....128.1364B,10.1086/422919,{'deimos': 2}
The OmegaWhite Survey for Short-period Variable Stars. V. Discovery of an Ultracompact Hot Subdwarf Binary with a Compact Companion in a 44-minute Orbit,Kupfer T. | Ramsay G. | van Roestel J. | et. al.,ApJ 851 28,2017 12,2017,arXiv:1710.07287,2017ApJ...851...28K,10.3847/1538-4357/aa9522,{'lris': 3}
First Keck Nulling Observations of a Young Stellar Object: Probing the Circumstellar Environment of the Herbig Ae Star MWC 325,Ragland S. | Ohnaka K. | Hillenbrand L. | et. al.,ApJ 746 126,2012 02,2012,arXiv:1111.1813,2012ApJ...746..126R,10.1088/0004-637X/746/2/126,{}
Phase-resolved spectroscopy and Kepler photometry of the ultracompact AM CVn binary SDSS J190817.07+394036.4,Kupfer T. | Groot P. | Bloemen S. | et. al.,MNRAS 453 483,2015 10,2015,arXiv:1507.03926,2015MNRAS.453..483K,10.1093/mnras/stv1609,"{'esi': 2, 'osiris': 1}"
